Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Liberia,LBR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.615
Libya,LBY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.393
Liechtenstein,LIE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,14.371
Lithuania,LTU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.855
Luxembourg,LUX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.223
"Macao SAR, China",MAC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Madagascar,MDG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.861
Malawi,MWI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,17.174
Malaysia,MYS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,76.607
Maldives,MDV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.238
Mali,MLI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.136
Malta,MLT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,94.678
Marshall Islands,MHL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.417
Mauritania,MRT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,54.507
Mauritius,MUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.766
Mexico,MEX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.444
"Micronesia, Fed. Sts.",FSM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,22.812
Moldova,MDA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.726
Monaco,MCO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Mongolia,MNG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,68.543
Montenegro,MNE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.15
Morocco,MAR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,62.994
Mozambique,MOZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.528
Myanmar,MMR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,30.852
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.042
Nauru,NRU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Nepal,NPL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,20.153
Netherlands,NLD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.876
New Caledonia,NCL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,71.104
New Zealand,NZL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.615
Nicaragua,NIC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.76
Niger,NER,Urban population (% of total population),SP.URB.TOTL.IN.ZS,16.517
