West Bank and Gaza,PSE,Urban population (% of total population),76.44
"Yemen, Rep.",YEM,Urban population (% of total population),37.273
Zambia,ZMB,Urban population (% of total population),44.072
Zimbabwe,ZWE,Urban population (% of total population),32.21
Africa Eastern and Southern,AFE,Urban population (% of total population),36.3362593667609
Africa Western and Central,AFW,Urban population (% of total population),47.2554132163805
Arab World,ARB,Urban population (% of total population),58.8838169749636
Caribbean small states,CSS,Urban population (% of total population),51.4126471802246
Central Europe and the Baltics,CEB,Urban population (% of total population),62.4381392131022
Early-demographic dividend,EAR,Urban population (% of total population),45.4664075798349
East Asia & Pacific,EAS,Urban population (% of total population),59.8909178104417
East Asia & Pacific (excluding high income),EAP,Urban population (% of total population),56.5876135587308
East Asia & Pacific (IDA & IBRD countries),TEA,Urban population (% of total population),56.5192103941673
Euro area,EMU,Urban population (% of total population),77.2316707115529
Europe & Central Asia,ECS,Urban population (% of total population),72.4040399778809
Europe & Central Asia (excluding high income),ECA,Urban population (% of total population),67.7895220162399
Europe & Central Asia (IDA & IBRD countries),TEC,Urban population (% of total population),66.4744437391754
European Union,EUU,Urban population (% of total population),74.7386633777464
Fragile and conflict affected situations,FCS,Urban population (% of total population),43.2769407730995
Heavily indebted poor countries (HIPC),HPC,Urban population (% of total population),36.5507593478923
High income,HIC,Urban population (% of total population),81.0617028574584
IBRD only,IBD,Urban population (% of total population),55.7181598662149
IDA & IBRD total,IBT,Urban population (% of total population),50.8891753537131
IDA blend,IDB,Urban population (% of total population),42.6719640958461
IDA only,IDX,Urban population (% of total population),34.6531641630946
IDA total,IDA,Urban population (% of total population),37.3146540500411
Late-demographic dividend,LTE,Urban population (% of total population),63.273888232995
Latin America & Caribbean,LCN,Urban population (% of total population),80.8888555976171
Latin America & Caribbean (excluding high income),LAC,Urban population (% of total population),80.4218535389678
Latin America & the Caribbean (IDA & IBRD countries),TLA,Urban population (% of total population),80.9123307981194
Least developed countries: UN classification,LDC,Urban population (% of total population),34.183200899884
Low & middle income,LMY,Urban population (% of total population),50.6237883940231
Low income,LIC,Urban population (% of total population),33.1343404628313
Lower middle income,LMC,Urban population (% of total population),40.8418509698702
Middle East & North Africa,MEA,Urban population (% of total population),65.3131692463537
Middle East & North Africa (excluding high income),MNA,Urban population (% of total population),61.591124938895
Middle East & North Africa (IDA & IBRD countries),TMN,Urban population (% of total population),61.4174454026043
Middle income,MIC,Urban population (% of total population),52.5714804331229
North America,NAC,Urban population (% of total population),82.3616890265939
Not classified,INX,Urban population (% of total population),..
OECD members,OED,Urban population (% of total population),80.813586872816
Other small states,OSS,Urban population (% of total population),62.6137251820681
Pacific island small states,PSS,Urban population (% of total population),38.8827944465255
Post-demographic dividend,PST,Urban population (% of total population),81.4738276186219
Pre-demographic dividend,PRE,Urban population (% of total population),41.9310319358134
Small states,SST,Urban population (% of total population),59.1980447262236
South Asia,SAS,Urban population (% of total population),34.4446340578761
South Asia (IDA & IBRD),TSA,Urban population (% of total population),34.4446340578761
Sub-Saharan Africa,SSF,Urban population (% of total population),40.7592828637136
Sub-Saharan Africa (excluding high income),SSA,Urban population (% of total population),40.7578587116271
Sub-Saharan Africa (IDA & IBRD countries),TSS,Urban population (% of total population),40.7592828637136
Upper middle income,UMC,Urban population (% of total population),65.6875389597489
World,WLD,Urban population (% of total population),55.6279105319621
