Virgin Islands (U.S.),VIR,"Central government debt, total (% of GDP)",..
West Bank and Gaza,PSE,"Central government debt, total (% of GDP)",..
"Yemen, Rep.",YEM,"Central government debt, total (% of GDP)",..
Zambia,ZMB,"Central government debt, total (% of GDP)",61.9301173816653
Zimbabwe,ZWE,"Central government debt, total (% of GDP)",..
Africa Eastern and Southern,AFE,"Central government debt, total (% of GDP)",..
Africa Western and Central,AFW,"Central government debt, total (% of GDP)",..
Arab World,ARB,"Central government debt, total (% of GDP)",..
Caribbean small states,CSS,"Central government debt, total (% of GDP)",..
Central Europe and the Baltics,CEB,"Central government debt, total (% of GDP)",..
Early-demographic dividend,EAR,"Central government debt, total (% of GDP)",..
East Asia & Pacific,EAS,"Central government debt, total (% of GDP)",..
East Asia & Pacific (excluding high income),EAP,"Central government debt, total (% of GDP)",..
East Asia & Pacific (IDA & IBRD countries),TEA,"Central government debt, total (% of GDP)",..
Euro area,EMU,"Central government debt, total (% of GDP)",..
Europe & Central Asia,ECS,"Central government debt, total (% of GDP)",..
Europe & Central Asia (excluding high income),ECA,"Central government debt, total (% of GDP)",24.6404157417581
Europe & Central Asia (IDA & IBRD countries),TEC,"Central government debt, total (% of GDP)",26.5818737838433
European Union,EUU,"Central government debt, total (% of GDP)",..
Fragile and conflict affected situations,FCS,"Central government debt, total (% of GDP)",..
Heavily indebted poor countries (HIPC),HPC,"Central government debt, total (% of GDP)",..
High income,HIC,"Central government debt, total (% of GDP)",109.492924447521
IBRD only,IBD,"Central government debt, total (% of GDP)",..
IDA & IBRD total,IBT,"Central government debt, total (% of GDP)",..
IDA blend,IDB,"Central government debt, total (% of GDP)",..
IDA only,IDX,"Central government debt, total (% of GDP)",..
IDA total,IDA,"Central government debt, total (% of GDP)",..
Late-demographic dividend,LTE,"Central government debt, total (% of GDP)",..
Latin America & Caribbean,LCN,"Central government debt, total (% of GDP)",70.7041362470475
Latin America & Caribbean (excluding high income),LAC,"Central government debt, total (% of GDP)",71.0190809632042
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Central government debt, total (% of GDP)",70.7392644317268
Least developed countries: UN classification,LDC,"Central government debt, total (% of GDP)",..
Low & middle income,LMY,"Central government debt, total (% of GDP)",..
Low income,LIC,"Central government debt, total (% of GDP)",..
Lower middle income,LMC,"Central government debt, total (% of GDP)",..
Middle East & North Africa,MEA,"Central government debt, total (% of GDP)",..
Middle East & North Africa (excluding high income),MNA,"Central government debt, total (% of GDP)",..
Middle East & North Africa (IDA & IBRD countries),TMN,"Central government debt, total (% of GDP)",..
Middle income,MIC,"Central government debt, total (% of GDP)",..
North America,NAC,"Central government debt, total (% of GDP)",96.7545013308331
Not classified,INX,"Central government debt, total (% of GDP)",..
